日付,競馬場,レース番号,馬券種別,枠番,倍率,購入金額,的中,払い戻し,収支(Total),収支(税務上)
2025/06/11,園田,1R,複勝,10,1.3,¥300,FALSE,¥0,-¥300,¥0
2025/06/11,園田,1R,ワイド,09–10,2.4,¥200,FALSE,¥0,-¥200,¥0
2025/06/11,園田,1R,馬連,04–10,4.1,¥100,FALSE,¥0,-¥100,¥0
2025/06/11,園田,1R,三連複,04–09–10,6.2,¥100,FALSE,¥0,-¥100,¥0
2025/06/11,園田,2R,単勝,1,3.9,¥300,TRUE,¥1170,¥870,¥870
2025/06/11,園田,2R,単勝,4,6.6,¥200,FALSE,¥0,-¥200,¥0
2025/06/11,園田,2R,ワイド,01–04,1.0,¥200,TRUE,¥200,¥0,¥0
2025/06/11,園田,2R,馬連,01–04,11.5,¥100,FALSE,¥0,-¥100,¥0
2025/06/11,園田,2R,三連複,01–02–04,4.6,¥100,FALSE,¥0,-¥100,¥0
2025/06/11,園田,2R,単勝,2,7.2,¥100,FALSE,¥0,-¥100,¥0
2025/06/11,園田,2R,三連単,01→04→02,31.9,¥200,FALSE,¥0,-¥200,¥0
2025/06/11,園田,4R,複勝,1,1.0,¥200,FALSE,¥0,-¥200,¥0
2025/06/11,園田,4R,ワイド,01–02,3.6,¥100,FALSE,¥0,-¥100,¥0
2025/06/11,園田,4R,馬連,01–09,11.0,¥100,FALSE,¥0,-¥100,¥0
2025/06/11,園田,4R,三連複,01–02–09,18.1,¥200,FALSE,¥0,-¥200,¥0
2025/06/11,園田,5R,複勝,6,1.0,¥200,TRUE,¥200,¥0,¥0
2025/06/11,園田,5R,ワイド,06–11,2.0,¥200,TRUE,¥400,¥200,¥200
2025/06/11,園田,5R,馬連,06–12,6.0,¥100,FALSE,¥0,-¥100,¥0
2025/06/11,園田,5R,三連複,06–11–12,6.5,¥100,TRUE,¥650,¥550,¥550
2025/06/11,園田,5R,三連単,06→11→12,48.6,¥100,FALSE,¥0,-¥100,¥0
2025/06/11,大井,1R,複勝,4,1.5,¥300,TRUE,¥450,¥150,¥150
2025/06/11,大井,1R,複勝,9,1.7,¥200,FALSE,¥0,-¥200,¥0
2025/06/11,大井,1R,ワイド,04－09,6.0,¥200,FALSE,¥0,-¥200,¥0
2025/06/11,大井,1R,ワイド,04－11,5.5,¥200,FALSE,¥0,-¥200,¥0
2025/06/11,大井,1R,馬連,04－09,11.6,¥200,FALSE,¥0,-¥200,¥0
2025/06/11,大井,1R,三連複,01－04－09,23.9,¥100,FALSE,¥0,-¥100,¥0
2025/06/11,大井,1R,三連複,04－09－11,33.4,¥100,FALSE,¥0,-¥100,¥0
2025/06/11,笠松,8R,複勝,4,1.4,¥200,FALSE,¥0,-¥200,¥0
2025/06/11,笠松,8R,ワイド,04-09,3.3,¥100,FALSE,¥0,-¥100,¥0
2025/06/11,笠松,8R,三連複,02-04-09,16.0,¥100,FALSE,¥0,-¥100,¥0
2025/06/14,函館,9R,単勝,1,4.4,¥200,FALSE,¥0,-¥200,¥0
2025/06/14,函館,9R,複勝,1,1.4,¥200,FALSE,¥0,-¥200,¥0
2025/06/14,函館,9R,複勝,12,1.6,¥100,TRUE,¥160,¥60,¥60
2025/06/14,函館,9R,ワイド,01-08,3.8,¥100,FALSE,¥0,-¥100,¥0
2025/06/14,函館,9R,ワイド,01-12,3.7,¥200,FALSE,¥0,-¥200,¥0
2025/06/14,函館,9R,ワイド,08-12,4.2,¥100,FALSE,¥0,-¥100,¥0
2025/06/14,函館,9R,馬連,01-12,7.4,¥100,FALSE,¥0,-¥100,¥0
